image_names,cell_type,xmin,xmax,ymin,ymax
RED_DATA (304).jpg,Ripe,794,1008,531,676
GREEN_DATA (668).jpg,Unripe,222,542,536,849
RED_DATA (336).jpg,Ripe,519,601,71,149
GREEN_DATA (574).jpg,Unripe,497,676,162,352
BLACK_DATA (720).jpg,Rotten,638,660,652,676
RED_DATA (316).jpg,Ripe,209,487,247,552
BLACK_DATA (672).jpg,Rotten,521,624,47,109
BLACK_DATA (822).jpg,Rotten,505,536,284,317
BLACK_DATA (48).jpg,Rotten,144,231,81,167
RED_DATA (761).jpg,Ripe,112,840,507,1079
RED_DATA (268).jpg,Ripe,392,726,27,340
BLACK_DATA (61).jpg,Rotten,804,956,277,482
BLACK_DATA (551).jpg,Rotten,112,719,37,630
RED_DATA (399).jpg,Ripe,540,875,505,903
RED_DATA (448).jpg,Ripe,110,362,164,487
GREEN_DATA (432).jpg,Unripe,176,251,232,300
BLACK_DATA (165).jpg,Rotten,423,656,485,732
GREEN_DATA (586).jpg,Unripe,516,836,215,494
BLACK_DATA (411).jpg,Rotten,482,649,399,569
BLACK_DATA (542).jpg,Rotten,219,781,70,640
BLACK_DATA (550).jpg,Rotten,686,715,270,305
GREEN_DATA (840).jpg,Unripe,317,601,132,429
RED_DATA (467).jpg,Ripe,770,1095,219,564
GREEN_DATA (195).jpg,Ripe,666,831,287,437
GREEN_DATA (383).jpg,Unripe,172,382,59,269
RED_DATA (604).jpg,Ripe,239,924,250,838
GREEN_DATA (120).jpg,Ripe,689,741,332,370
GREEN_DATA (830).jpg,Unripe,186,472,101,406
BLACK_DATA (39).jpg,Rotten,35,508,73,466
BLACK_DATA (30).jpg,Rotten,747,956,415,619
RED_DATA (514).jpg,Ripe,135,335,455,745
GREEN_DATA (565).jpg,Unripe,297,457,328,497
RED_DATA (509).jpg,Ripe,329,534,287,503
RED_DATA (956).jpg,Ripe,107,919,127,899
RED_DATA (436).jpg,Ripe,87,556,164,634
RED_DATA (692).jpg,Ripe,312,714,508,930
GREEN_DATA (77).jpg,Unripe,62,295,372,651
RED_DATA (395).jpg,Ripe,317,655,410,758
RED_DATA (191).jpg,Unripe,137,671,160,663
BLACK_DATA (101).jpg,Rotten,546,610,303,360
RED_DATA (503).jpg,Ripe,367,585,17,242
GREEN_DATA (496).jpg,Unripe,244,393,167,287
BLACK_DATA (16).jpg,Rotten,810,864,70,122
RED_DATA (282).jpg,Ripe,292,472,801,949
RED_DATA (324).jpg,Ripe,131,912,13,731
RED_DATA (86).jpg,Ripe,357,686,227,520
BLACK_DATA (384).jpg,Rotten,342,531,566,676
BLACK_DATA (646).jpg,Rotten,108,778,17,630
GREEN_DATA (419).jpg,Ripe,344,519,204,399
RED_DATA (388).jpg,Ripe,22,512,252,803
GREEN_DATA (231).jpg,Unripe,448,570,243,375
RED_DATA (693).jpg,Ripe,491,652,31,193
GREEN_DATA (705).jpg,Unripe,389,601,215,427
RED_DATA (197).jpg,Rotten,554,959,145,525
GREEN_DATA (555).jpg,Unripe,535,698,819,999
GREEN_DATA (844).jpg,Unripe,0,132,190,323
RED_DATA (160).jpg,Ripe,67,212,365,491
GREEN_DATA (797).jpg,Unripe,197,479,240,520
RED_DATA (473).jpg,Ripe,770,1237,347,755
RED_DATA (752).jpg,Ripe,434,789,215,570
BLACK_DATA (454).jpg,Rotten,412,666,192,462
GREEN_DATA (622).jpg,Unripe,387,696,297,562
GREEN_DATA (136).jpg,Ripe,249,319,369,427
GREEN_DATA (144).jpg,Ripe,444,564,469,582
BLACK_DATA (266).jpg,Rotten,633,828,182,391
RED_DATA (285).jpg,Ripe,472,856,139,439
RED_DATA (173).jpg,Unripe,619,737,870,984
RED_DATA (423).jpg,Ripe,1307,1512,305,498
RED_DATA (248).jpg,Ripe,52,1061,37,858
BLACK_DATA (608).jpg,Rotten,533,570,569,610
GREEN_DATA (702).jpg,Unripe,534,651,277,397
BLACK_DATA (342).jpg,Rotten,671,835,477,624
RED_DATA (318).jpg,Ripe,649,986,252,607
RED_DATA (269).jpg,Unripe,9,197,337,540
GREEN_DATA (181).jpg,Unripe,59,287,312,504
BLACK_DATA (452).jpg,Rotten,544,691,402,592
RED_DATA (665).jpg,Ripe,75,582,132,653
GREEN_DATA (505).jpg,Unripe,250,375,502,612
GREEN_DATA (887).jpg,Unripe,392,646,322,544
RED_DATA (796).jpg,Ripe,144,879,120,834
RED_DATA (77).jpg,Ripe,220,327,284,362
RED_DATA (511).jpg,Ripe,785,1170,277,615
GREEN_DATA (408).jpg,Unripe,566,831,84,314
RED_DATA (325).jpg,Ripe,162,412,27,222
RED_DATA (627).jpg,Ripe,412,817,162,573
RED_DATA (173).jpg,Ripe,428,565,63,181
RED_DATA (355).jpg,Ripe,412,771,95,467
GREEN_DATA (627).jpg,Unripe,564,814,349,617
GREEN_DATA (19).jpg,Unripe,380,553,606,796
BLACK_DATA (512).jpg,Rotten,307,439,215,342
BLACK_DATA (667).jpg,Rotten,215,529,186,487
BLACK_DATA (493).jpg,Rotten,513,579,440,494
BLACK_DATA (15).jpg,Rotten,274,764,142,644
RED_DATA (742).jpg,Ripe,77,936,72,872
RED_DATA (560).jpg,Ripe,392,667,559,849
BLACK_DATA (96).jpg,Rotten,623,857,563,676
BLACK_DATA (674).jpg,Rotten,62,139,450,515
GREEN_DATA (108).jpg,Ripe,502,574,329,447
GREEN_DATA (696).jpg,Unripe,167,337,571,696
GREEN_DATA (337).jpg,Unripe,235,278,456,493
BLACK_DATA (794).jpg,Rotten,390,510,198,313
RED_DATA (779).jpg,Ripe,92,842,157,874
GREEN_DATA (370).jpg,Unripe,336,462,331,470
GREEN_DATA (677).jpg,Unripe,331,818,143,648
GREEN_DATA (179).jpg,Unripe,417,514,409,504
GREEN_DATA (395).jpg,Unripe,256,440,574,794
RED_DATA (242).jpg,Ripe,749,1019,92,457
RED_DATA (509).jpg,Ripe,774,1049,392,685
BLACK_DATA (316).jpg,Rotten,739,848,348,431
RED_DATA (300).jpg,Ripe,764,1012,25,249
GREEN_DATA (499).jpg,Unripe,879,1019,207,364
BLACK_DATA (346).jpg,Rotten,364,444,554,630
GREEN_DATA (531).jpg,Unripe,195,245,377,430
GREEN_DATA (671).jpg,Unripe,312,821,124,521
BLACK_DATA (255).jpg,Rotten,351,417,476,534
BLACK_DATA (137).jpg,Rotten,551,734,244,424
BLACK_DATA (739).jpg,Rotten,771,1021,433,677
GREEN_DATA (265).jpg,Unripe,289,377,332,427
BLACK_DATA (506).jpg,Rotten,660,847,255,478
GREEN_DATA (855).jpg,Unripe,504,794,392,630
GREEN_DATA (47).jpg,Unripe,427,661,137,360
RED_DATA (251).jpg,Ripe,227,816,90,692
BLACK_DATA (40).jpg,Rotten,512,599,175,257
BLACK_DATA (845).jpg,Rotten,771,934,385,518
BLACK_DATA (246).jpg,Rotten,624,851,267,491
GREEN_DATA (360).jpg,Ripe,147,374,175,401
GREEN_DATA (661).jpg,Unripe,215,429,278,456
GREEN_DATA (364).jpg,Unripe,422,502,465,542
RED_DATA (161).jpg,Ripe,271,761,267,578
GREEN_DATA (722).jpg,Unripe,489,661,190,412
GREEN_DATA (30).jpg,Unripe,797,871,401,467
RED_DATA (210).jpg,Ripe,496,734,260,467
BLACK_DATA (151).jpg,Rotten,663,698,405,435
GREEN_DATA (695).jpg,Unripe,157,293,504,651
BLACK_DATA (516).jpg,Rotten,533,660,314,432
GREEN_DATA (903).jpg,Unripe,74,249,437,632
GREEN_DATA (232).jpg,Unripe,409,636,170,415
RED_DATA (241).jpg,Ripe,821,1009,662,870
RED_DATA (672).jpg,Ripe,872,1087,705,940
GREEN_DATA (695).jpg,Unripe,249,447,407,592
BLACK_DATA (828).jpg,Rotten,405,465,447,507
RED_DATA (566).jpg,Ripe,680,954,272,613
RED_DATA (235).jpg,Ripe,2,87,619,994
RED_DATA (611).jpg,Ripe,622,884,480,783
GREEN_DATA (474).jpg,Unripe,568,718,163,283
RED_DATA (322).jpg,Ripe,267,669,260,660
BLACK_DATA (344).jpg,Rotten,152,447,337,569
RED_DATA (644).jpg,Ripe,690,990,354,691
BLACK_DATA (306).jpg,Rotten,547,759,315,520
BLACK_DATA (343).jpg,Rotten,313,471,74,237
BLACK_DATA (610).jpg,Rotten,498,555,858,915
BLACK_DATA (822).jpg,Rotten,754,786,256,286
RED_DATA (177).jpg,Ripe,149,751,62,690
BLACK_DATA (48).jpg,Rotten,374,501,102,191
BLACK_DATA (570).jpg,Rotten,70,176,373,467
RED_DATA (246).jpg,Ripe,422,569,225,375
BLACK_DATA (98).jpg,Rotten,77,188,338,440
GREEN_DATA (720).jpg,Unripe,405,542,116,302
RED_DATA (567).jpg,Ripe,382,645,543,828
GREEN_DATA (854).jpg,Unripe,348,528,29,216
BLACK_DATA (163).jpg,Rotten,349,724,185,595
BLACK_DATA (217).jpg,Rotten,573,766,11,178
RED_DATA (638).jpg,Ripe,7,342,603,953
GREEN_DATA (280).jpg,Unripe,569,697,172,310
RED_DATA (897).jpg,Ripe,256,783,91,622
RED_DATA (647).jpg,Ripe,397,915,299,879
RED_DATA (289).jpg,Unripe,250,432,401,596
GREEN_DATA (427).jpg,Unripe,732,824,358,448
GREEN_DATA (887).jpg,Unripe,134,392,69,309
GREEN_DATA (699).jpg,Unripe,734,930,0,110
RED_DATA (30).jpg,Ripe,218,328,246,352
BLACK_DATA (741).jpg,Rotten,375,691,210,493
GREEN_DATA (797).jpg,Unripe,422,632,240,484
GREEN_DATA (450).jpg,Ripe,386,503,644,745
BLACK_DATA (4).jpg,Rotten,291,414,644,769
RED_DATA (660).jpg,Ripe,770,1267,240,715
RED_DATA (931).jpg,Ripe,112,916,184,849
GREEN_DATA (320).jpg,Ripe,542,560,345,361
GREEN_DATA (756).jpg,Unripe,102,264,4,149
BLACK_DATA (404).jpg,Rotten,671,774,222,312
BLACK_DATA (164).jpg,Rotten,369,441,370,436
GREEN_DATA (511).jpg,Unripe,592,659,201,248
RED_DATA (499).jpg,Ripe,770,992,509,764
BLACK_DATA (308).jpg,Rotten,581,595,49,71
GREEN_DATA (604).jpg,Unripe,30,242,634,796
RED_DATA (741).jpg,Ripe,179,956,214,949
GREEN_DATA (197).jpg,Unripe,184,377,467,615
RED_DATA (278).jpg,Ripe,680,791,844,967
GREEN_DATA (183).jpg,Unripe,469,666,259,444
RED_DATA (89).jpg,Ripe,302,661,139,414
BLACK_DATA (747).jpg,Rotten,318,415,424,507
RED_DATA (255).jpg,Ripe,369,701,187,502
GREEN_DATA (168).jpg,Unripe,651,724,265,340
BLACK_DATA (44).jpg,Rotten,479,846,15,252
BLACK_DATA (153).jpg,Rotten,192,232,184,225
RED_DATA (634).jpg,Ripe,884,1050,267,427
GREEN_DATA (447).jpg,Unripe,222,480,382,636
BLACK_DATA (297).jpg,Rotten,734,809,77,209
RED_DATA (603).jpg,Ripe,912,1219,345,695
RED_DATA (805).jpg,Ripe,102,916,124,926
BLACK_DATA (403).jpg,Rotten,556,726,0,132
GREEN_DATA (275).jpg,Unripe,127,322,317,534
RED_DATA (467).jpg,Ripe,584,834,412,700
BLACK_DATA (101).jpg,Rotten,447,517,108,173
GREEN_DATA (79).jpg,Unripe,566,731,197,367
GREEN_DATA (513).jpg,Unripe,459,699,229,414
BLACK_DATA (61).jpg,Rotten,172,334,272,475
GREEN_DATA (778).jpg,Unripe,54,229,245,410
BLACK_DATA (46).jpg,Rotten,279,771,102,587
GREEN_DATA (258).jpg,Unripe,90,213,379,490
GREEN_DATA (737).jpg,Unripe,126,328,157,381
GREEN_DATA (794).jpg,Unripe,537,680,190,332
GREEN_DATA (744).jpg,Unripe,344,624,207,435
GREEN_DATA (853).jpg,Unripe,489,836,477,812
GREEN_DATA (458).jpg,Unripe,302,374,359,434
BLACK_DATA (570).jpg,Rotten,707,792,393,476
BLACK_DATA (282).jpg,Rotten,152,379,801,976
RED_DATA (461).jpg,Ripe,584,827,267,524
GREEN_DATA (301).jpg,Ripe,152,294,594,721
RED_DATA (370).jpg,Ripe,187,402,690,948
RED_DATA (193).jpg,Ripe,342,659,210,535
BLACK_DATA (285).jpg,Rotten,284,549,315,597
GREEN_DATA (107).jpg,Ripe,82,294,409,641
GREEN_DATA (672).jpg,Unripe,724,949,257,447
BLACK_DATA (67).jpg,Rotten,636,991,172,622
BLACK_DATA (504).jpg,Rotten,269,891,119,666
RED_DATA (158).jpg,Ripe,549,819,472,715
BLACK_DATA (730).jpg,Rotten,440,528,322,384
BLACK_DATA (347).jpg,Rotten,61,905,40,705
RED_DATA (344).jpg,Unripe,224,529,15,277
BLACK_DATA (493).jpg,Rotten,721,788,371,428
BLACK_DATA (152).jpg,Rotten,77,152,484,574
RED_DATA (500).jpg,Ripe,227,485,250,495
GREEN_DATA (242).jpg,Unripe,664,863,46,286
RED_DATA (480).jpg,Ripe,187,662,287,712
RED_DATA (208).jpg,Unripe,472,617,151,283
GREEN_DATA (89).jpg,Ripe,601,711,292,419
GREEN_DATA (665).jpg,Unripe,372,639,175,470
GREEN_DATA (386).jpg,Unripe,614,754,336,490
BLACK_DATA (570).jpg,Rotten,602,683,263,341
RED_DATA (648).jpg,Ripe,360,630,727,975
BLACK_DATA (287).jpg,Rotten,729,803,281,332
BLACK_DATA (97).jpg,Rotten,107,167,387,445
BLACK_DATA (401).jpg,Rotten,337,619,202,462
BLACK_DATA (749).jpg,Rotten,689,796,0,57
BLACK_DATA (202).jpg,Rotten,387,611,479,684
BLACK_DATA (19).jpg,Rotten,62,736,118,664
BLACK_DATA (363).jpg,Rotten,649,844,292,529
GREEN_DATA (541).jpg,Unripe,462,679,302,512
GREEN_DATA (429).jpg,Unripe,128,240,147,256
GREEN_DATA (286).jpg,Unripe,471,505,379,417
BLACK_DATA (156).jpg,Rotten,448,498,288,348
BLACK_DATA (516).jpg,Rotten,508,587,236,314
RED_DATA (575).jpg,Ripe,0,137,785,948
RED_DATA (522).jpg,Ripe,941,1178,119,325
GREEN_DATA (541).jpg,Ripe,367,554,157,357
RED_DATA (420).jpg,Unripe,187,663,366,888
GREEN_DATA (609).jpg,Unripe,84,432,152,484
BLACK_DATA (152).jpg,Rotten,820,909,533,621
GREEN_DATA (749).jpg,Unripe,515,753,326,576
BLACK_DATA (419).jpg,Rotten,174,287,17,117
BLACK_DATA (354).jpg,Rotten,736,869,312,387
GREEN_DATA (86).jpg,Unripe,624,814,267,455
GREEN_DATA (20).jpg,Unripe,394,611,137,300
BLACK_DATA (452).jpg,Rotten,7,124,387,542
RED_DATA (239).jpg,Ripe,501,827,3,222
GREEN_DATA (177).jpg,Unripe,701,879,52,224
GREEN_DATA (454).jpg,Unripe,374,440,394,464
GREEN_DATA (400).jpg,Unripe,89,313,78,245
GREEN_DATA (829).jpg,Unripe,402,711,195,518
BLACK_DATA (45).jpg,Rotten,297,394,147,242
RED_DATA (425).jpg,Ripe,224,637,510,902
RED_DATA (192).jpg,Ripe,352,684,220,462
GREEN_DATA (552).jpg,Unripe,452,606,257,389
RED_DATA (412).jpg,Ripe,1242,1497,47,489
BLACK_DATA (155).jpg,Rotten,287,331,572,626
RED_DATA (453).jpg,Ripe,420,1092,212,820
BLACK_DATA (133).jpg,Rotten,527,663,50,173
RED_DATA (404).jpg,Ripe,135,420,217,518
GREEN_DATA (330).jpg,Ripe,642,773,203,325
BLACK_DATA (670).jpg,Rotten,4,234,17,255
BLACK_DATA (101).jpg,Rotten,121,207,330,393
BLACK_DATA (529).jpg,Rotten,82,351,204,415
GREEN_DATA (11).jpg,Ripe,131,182,761,815
RED_DATA (884).jpg,Ripe,162,735,357,933
RED_DATA (307).jpg,Ripe,387,617,309,529
RED_DATA (947).jpg,Ripe,542,927,332,765
GREEN_DATA (754).jpg,Unripe,484,806,210,530
RED_DATA (654).jpg,Ripe,1432,1490,760,1028
BLACK_DATA (47).jpg,Rotten,55,477,877,1262
RED_DATA (173).jpg,Unripe,364,489,512,624
RED_DATA (425).jpg,Ripe,355,745,154,522
GREEN_DATA (806).jpg,Unripe,434,739,337,625
BLACK_DATA (97).jpg,Rotten,392,439,511,554
GREEN_DATA (415).jpg,Unripe,259,399,666,811
RED_DATA (467).jpg,Ripe,294,595,539,844
GREEN_DATA (569).jpg,Unripe,112,247,267,442
RED_DATA (474).jpg,Ripe,182,655,174,725
BLACK_DATA (216).jpg,Rotten,349,414,219,289
GREEN_DATA (553).jpg,Unripe,167,505,412,664
BLACK_DATA (798).jpg,Rotten,842,869,513,536
RED_DATA (167).jpg,Ripe,32,512,134,567
GREEN_DATA (696).jpg,Unripe,460,558,372,475
RED_DATA (690).jpg,Ripe,922,1212,365,635
RED_DATA (387).jpg,Ripe,792,1014,888,990
GREEN_DATA (221).jpg,Ripe,94,392,335,590
GREEN_DATA (700).jpg,Unripe,570,750,212,363
BLACK_DATA (511).jpg,Rotten,82,309,377,632
BLACK_DATA (48).jpg,Rotten,505,646,10,123
GREEN_DATA (32).jpg,Unripe,642,840,381,590
BLACK_DATA (472).jpg,Rotten,472,699,327,594
RED_DATA (607).jpg,Ripe,65,312,487,834
RED_DATA (60).jpg,Ripe,516,744,175,397
GREEN_DATA (143).jpg,Ripe,759,924,429,594
RED_DATA (945).jpg,Ripe,640,947,387,700
GREEN_DATA (446).jpg,Ripe,452,605,287,423
GREEN_DATA (34).jpg,Unripe,579,749,455,630
BLACK_DATA (845).jpg,Rotten,405,601,467,668
RED_DATA (508).jpg,Ripe,147,679,354,824
GREEN_DATA (818).jpg,Unripe,206,680,82,542
BLACK_DATA (97).jpg,Rotten,531,587,359,417
BLACK_DATA (90).jpg,Rotten,149,524,222,531
GREEN_DATA (866).jpg,Unripe,437,574,186,334
GREEN_DATA (149).jpg,Unripe,312,556,282,520
RED_DATA (582).jpg,Ripe,487,740,312,655
GREEN_DATA (187).jpg,Ripe,47,370,364,611
RED_DATA (1).jpg,Ripe,553,643,432,534
BLACK_DATA (96).jpg,Rotten,211,407,381,598
GREEN_DATA (529).jpg,Unripe,776,854,377,470
RED_DATA (87).jpg,Ripe,359,709,172,470
RED_DATA (770).jpg,Ripe,144,541,115,437
RED_DATA (387).jpg,Ripe,599,849,382,665
RED_DATA (410).jpg,Ripe,785,1252,180,695
BLACK_DATA (222).jpg,Rotten,240,327,529,596
GREEN_DATA (512).jpg,Unripe,665,750,381,469
BLACK_DATA (133).jpg,Rotten,223,341,192,301
RED_DATA (39).jpg,Ripe,379,654,137,415
GREEN_DATA (568).jpg,Unripe,459,691,222,447
BLACK_DATA (309).jpg,Rotten,264,321,356,422
BLACK_DATA (62).jpg,Rotten,62,387,102,424
GREEN_DATA (35).jpg,Ripe,172,424,170,433
BLACK_DATA (514).jpg,Rotten,796,1028,305,547
BLACK_DATA (837).jpg,Rotten,317,741,165,595
RED_DATA (635).jpg,Ripe,1047,1305,219,569
BLACK_DATA (254).jpg,Rotten,311,526,210,400
RED_DATA (519).jpg,Ripe,607,857,355,650
RED_DATA (730).jpg,Ripe,235,542,580,917
RED_DATA (936).jpg,Ripe,124,834,204,939
BLACK_DATA (581).jpg,Rotten,781,1021,505,685
GREEN_DATA (666).jpg,Unripe,639,789,252,392
BLACK_DATA (80).jpg,Rotten,764,944,280,452
GREEN_DATA (511).jpg,Unripe,463,537,300,375
GREEN_DATA (148).jpg,Unripe,664,841,282,502
GREEN_DATA (433).jpg,Unripe,460,586,405,522
BLACK_DATA (711).jpg,Rotten,347,724,217,605
GREEN_DATA (11).jpg,Unripe,366,397,256,304
RED_DATA (620).jpg,Ripe,592,975,247,605
RED_DATA (393).jpg,Ripe,426,645,367,673
RED_DATA (413).jpg,Ripe,99,329,332,608
RED_DATA (158).jpg,Ripe,32,304,2,265
BLACK_DATA (222).jpg,Rotten,343,396,283,340
BLACK_DATA (149).jpg,Rotten,756,934,269,429
BLACK_DATA (586).jpg,Rotten,242,487,217,485
